player,team,league,season,position_group,cluster,archetype,pca_x,pca_y,goals_p90,assists_p90,xG_p90,xA_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,shot_conversion,finishing_over_xG,creation_over_xA,discipline_p90,involvement_index
Eden Hazard,Real Madrid,La Liga,1920,FWD,3,Elite Complete Forward,3.0297982761738367,2.5769589019646735,0.08174386913556414,0.24523160740669242,0.1972428073061159,0.2507740022412714,1.5531335135757187,1.7166212518468469,0.7015738390327659,0.36273214450956925,0.05263157617728546,-0.11549893817055176,-0.0055423948345789675,0.0,0.5321529917711676
Jeison Murillo,Celta Vigo,La Liga,1920,DEF,0,Defensive Anchor,-2.790826645603084,-1.2276598482618275,0.05882352937331795,0.0,0.02029956234935763,0.00760069467068815,0.5294117643598616,0.1176470587466359,0.08727172164787744,0.08105713079918783,0.11111109876543349,0.038523967023960326,-0.00760069467068815,0.29411764686658975,0.08416442622353264
Geoffrey Kondogbia,Valencia,La Liga,1920,MID,0,Defensive Anchor,-1.58328419685336,0.2109745201973309,0.04975124375359245,0.04975124375359245,0.052280463481065687,0.010189695963887734,0.9452736313182566,0.2985074625215547,0.2486988353738935,0.2240445324607603,0.05263157617728546,-0.0025292197274732336,0.03956154778970472,0.24875621876796228,0.2363716839173269
Raúl Albiol,Villarreal,La Liga,1920,DEF,0,Defensive Anchor,-1.8817627211831618,0.4386014126337234,0.027794935136567347,0.0,0.07446653297065213,0.010748887183926583,0.4169240270485102,0.11117974054626939,0.2705576686863603,0.26925072175493026,0.06666666222222252,-0.04667159783408478,-0.010748887183926583,0.2501544162291061,0.26990419522064524
Jonathan Calleri,Espanyol,La Liga,1920,FWD,1,Volume Forward,-0.09287641232071123,0.42805601835717005,0.049369171667926946,0.14810751500378083,0.19797507104768144,0.13039567840892452,2.3203510683925663,0.8392759183547581,0.3485488235362702,0.08085967730372015,0.021276595291987336,-0.1486058993797545,0.01771183659485631,0.29621503000756166,0.2147042504199952
Facundo Roncaglia,Osasuna,La Liga,1920,DEF,2,Efficient Impact Player,-2.5915415654058727,-2.4401158867605757,0.07003891045133158,0.0,0.0033285590913697425,0.022206871198595747,0.21011673135399472,0.2801556418053263,0.07309237541559667,0.048640226204407,0.33333322222225925,0.06671035135996184,-0.022206871198595747,0.42023346270798945,0.060866300810001835
Vicente Iborra,Villarreal,La Liga,1920,MID,4,Deep-Lying Playmaker,-0.7263813419759806,1.4056205848978103,0.03346969132262191,0.06693938264524382,0.11802979907866236,0.0366564183409839,0.7028635177750602,0.3346969132262191,0.4347243922153415,0.33676356163032545,0.04761904535147403,-0.08456010775604045,0.030282964304259925,0.3346969132262191,0.38574397692283346
Coke,Levante,La Liga,1920,DEF,0,Defensive Anchor,-0.9325409172384681,0.03557386567944535,0.09127789037395752,0.0,0.13875733283736633,0.02516512711139402,0.8215010133656176,0.6389452326177026,0.35495213142151594,0.24943212637766038,0.11111109876543349,-0.04747944246340881,-0.02516512711139402,0.27383367112187257,0.30219212889958813
Rubén Pérez,Leganes,La Liga,1920,MID,0,Defensive Anchor,-2.338977984382572,-0.3274906830288239,0.04100227788564817,0.04100227788564817,0.04523670916974963,0.01757766717587749,0.8200455577129634,0.2870159451995372,0.14709721523125158,0.1244507285926992,0.04999999750000012,-0.004234431284101461,0.023424610709770678,0.3690205009708335,0.13577397191197538
Gerard Piqué,Barcelona,La Liga,1920,DEF,4,Deep-Lying Playmaker,-1.0726485435526512,1.3897659087297998,0.029013539642484352,0.0,0.07423141920199752,0.011163510583935964,0.40618955499478093,0.14506769821242177,0.46407737152559103,0.41892675119971007,0.07142856632653098,-0.045217879559513174,-0.011163510583935964,0.43520309463726525,0.4415020613626506
